acdc_name,RV,Myo,LV
patient118_frame10,0.6200512674451724,0.21051344743276285,0.7857636489288182
patient119_frame09,0.0,0.22322435174746336,0.12641083521444696
patient120_frame08,0.3283480625424881,0.4887442065769146,0.578262583782363
patient121_frame10,0.5326396031217859,0.0,0.0
patient122_frame06,0.16699300699300698,0.31446329581723503,0.8566050090031102
patient123_frame11,0.0,0.0,0.0
patient124_frame07,0.44852630877551475,0.0,0.0
patient125_frame07,0.0,0.0,0.0
patient126_frame07,0.0,0.0,0.0
patient127_frame07,0.5079596371716877,0.18926301032123952,0.0
patient128_frame11,0.26304540821359285,0.0065170166545981175,0.0
patient129_frame08,0.5416808825201865,0.4704365444833303,0.6391811746699828
patient130_frame11,0.0,0.0,0.0
patient131_frame09,0.6128827464960688,0.5276474944458158,0.8113227854913357
patient132_frame15,0.7263980757666867,0.46332187857961055,0.889669826740765
patient133_frame10,0.6998992027856684,0.3637666618890641,0.8943774630301612
patient134_frame15,0.0,0.0,0.0
patient135_frame10,0.0,0.5663769853161522,0.8458039775260858
patient136_frame12,0.0,0.0,0.0
patient137_frame11,0.0,0.5449599294169546,0.6345123258306538
patient138_frame10,0.0,0.0,0.0
patient139_frame08,0.0,0.0,0.0
patient140_frame09,0.5602403910157662,0.0003454231433506045,0.0
patient141_frame11,0.6482048292280037,0.0,0.0
patient142_frame12,0.0,0.0,0.0
patient143_frame12,0.0,0.0,0.0
patient144_frame09,0.0,0.0,0.0
patient145_frame13,0.0,0.0,0.0
patient146_frame10,0.22632679478243553,0.0,0.0
patient147_frame09,0.0,0.250403963279294,0.004424778761061947
patient148_frame10,0.019031857674803476,0.0,0.0
patient149_frame12,0.0,0.0,0.0
patient150_frame12,0.0,0.003127443315089914,0.0
